Title,Subtitle,Battery,Weight,Plug Type,Number of Seats,Acceleration,Top Speed,Car Range,Efficiency,Fastcharge
Toyota PROACE Verso L 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,8,13.1 sec,130 km/h,250 km,260 Wh/km,290 km/h
Peugeot e-Expert Combi Long 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,13.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Toyota PROACE Shuttle M 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,9,13.1 sec,130 km/h,245 km,265 Wh/km,280 km/h
Opel Zafira-e Life L 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Citroen e-Jumpy Combi XL 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,9,13.3 sec,130 km/h,250 km,260 Wh/km,290 km/h
Toyota PROACE Shuttle L 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Citroen e-Jumpy Combi XL 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Peugeot e-Expert Combi Compact 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Opel Vivaro-e Combi L 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Citroen e-Jumpy Combi XS 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Opel Vivaro-e Combi L 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,9,13.3 sec,130 km/h,250 km,260 Wh/km,290 km/h
Peugeot e-Expert Combi Standard 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,13.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Opel Zafira-e Life M 75 kWh,Battery Electric Vehicle ,65 kWh *,1000,Type 2 CCS,9,13.3 sec,130 km/h,250 km,260 Wh/km,290 km/h
Toyota PROACE Verso L 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,8,12.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Toyota PROACE Verso M 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,8,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Opel Vivaro-e Combi M 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Peugeot e-Traveller Long 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,13.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Peugeot e-Traveller Compact 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,175 km,257 Wh/km,280 km/h
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle ,45 kWh *,1000,Type 2 CCS,9,12.1 sec,130 km/h,180 km,250 Wh/km,290 km/h
